Kids_First_Biospecimen_ID	cluster_k
BS_00FD2KMP	E2
BS_028YFYJ6	E4
BS_052PZFMK	E2
BS_056Q8577	E3
BS_08ST21QE	E1
BS_0C7VZC0A	E3
BS_0S8E7590	E1
BS_0VXZCRJS	E3
BS_0XEBS3PG	E2
BS_0ZA67BBC	E3
BS_12G04QJM	E4
BS_17ZSMXFH	E4
BS_1A6MQ9ZA	E4
BS_1D93Z575	E3
BS_1EN5V3XW	E2
BS_223BM91B	E1
BS_25HNKZ79	E1
BS_2853394H	E2
BS_297H8BT4	E4
BS_29X4ZX6Q	E2
BS_2A5R9MEJ	E2
BS_2ARXK0TD	E1
BS_2AV1H5TV	E3
BS_2DMBCHNF	E1
BS_2EN3X6HB	E3
BS_2FEZWH1F	E1
BS_2HNXVFAS	E4
BS_2JH1QMT1	E3
BS_2JP7RBMB	E3
BS_2K01T8K6	E1
BS_2PDS3MSS	E1
BS_2T5PJAW8	E3
BS_2WANPFBJ	E1
BS_30F3Z9FS	E3
BS_30VC3R2Q	E3
BS_30YWQ3FY	E1
BS_31MBRWC4	E1
BS_333KCNDP	E1
BS_399RPKC9	E3
BS_3AC3SRWH	E2
BS_3MS8WVNR	E2
BS_3ZPJAK9A	E4
BS_45J79YTF	E2
BS_49BQS7Z6	E3
BS_49CJNZ06	E3
BS_4B0BAVTX	E3
BS_4BM3F6XJ	E4
BS_4C6B11E4	E1
BS_4GNN7J8E	E1
BS_4KNBXM3C	E1
BS_4Q3KRCZT	E1
BS_4QW2S1Q8	E1
BS_4T0HQ9QF	E4
BS_4V42BXBT	E3
BS_51RA1PGE	E4
BS_52C576HH	E4
BS_5965SFPZ	E2
BS_5EFYPZT0	E4
BS_5G5BD2MD	E1
BS_5K95FX4C	E1
BS_5KBXD2GQ	E4
BS_5PXZ8F7W	E3
BS_5VPM0F36	E1
BS_62SW4CC5	E1
BS_65WPD3DA	E3
BS_68KX6A42	E1
BS_6DCSD5Y6	E2
BS_6H4Q24WA	E1
BS_6M2053M0	E3
BS_6SY64H5J	E1
BS_6VRG1XFB	E4
BS_6WP1FHTE	E1
BS_7327SDAQ	E3
BS_75YRDXET	E1
BS_77SBTNPN	E3
BS_7AEF4D4G	E1
BS_7APCGCVF	E3
BS_7GJT4A6A	E2
BS_7GKWKGPH	E1
BS_7PVJ6Q3D	E2
BS_7WKNNRHK	E4
BS_84VZX732	E1
BS_84XCR9GG	E3
BS_8E8JKP01	E2
BS_8ERBDF7D	E2
BS_8JK9TXH2	E4
BS_8VD670NP	E3
BS_8YWYN7VH	E1
BS_8ZE4Z9G5	E4
BS_8ZY4GST0	E2
BS_91VYM11A	E3
BS_956G6QPJ	E4
BS_97M1E2DW	E2
BS_9A1YTHFF	E1
BS_9B0A62MT	E4
BS_9CA93S6D	E2
BS_9FHEFJNP	E3
BS_9FX3YREK	E2
BS_9GJ3DB1H	E1
BS_9JPQZQNG	E3
BS_9TXEDSWB	E3
BS_9XVACXP0	E4
BS_9Y1K14Q5	E4
BS_9ZJT0CP0	E4
BS_A4PF49V0	E4
BS_A6NXR7RC	E3
BS_A7Q8G0Y1	E4
BS_A8XW5S0W	E4
BS_AWH9757B	E2
BS_AYSXRQWY	E4
BS_AZQM1JJH	E1
BS_B1C6GZ84	E2
BS_B3MQFFYP	E1
BS_B4R7X1KE	E2
BS_B57327NA	E3
BS_BBAEMXRD	E2
BS_BBQ6BHGN	E3
BS_BK0HGRXM	E1
BS_BMMY0H73	E3
BS_C6ZZ3FY5	E3
BS_C83TK159	E3
BS_CBDQZ8PP	E2
BS_CF63VG3S	E3
BS_CFD3WHAY	E3
BS_CG1RG607	E1
BS_CVEDJGHZ	E1
BS_CXAQDK7S	E1
BS_CZPQ493E	E3
BS_D29RPBSZ	E4
BS_D4VNDNQA	E2
BS_D6J2BGDJ	E2
BS_DFGS950G	E2
BS_DNZVP92S	E4
BS_DR079H0D	E2
BS_DS438CXE	E2
BS_DSPVSM7D	E4
BS_DZNXFPH1	E1
BS_E7NVYA6G	E1
BS_E9CYN4NP	E2
BS_EB0XRBT9	E1
BS_EDJ5TV0P	E2
BS_EMQM7HTA	E4
BS_ENEYB4TG	E1
BS_EXPJQZTH	E1
BS_EZ3147MX	E3
BS_F0JB4EAK	E2
BS_F21R36MM	E4
BS_F65GWS21	E4
BS_F6V1Y4QS	E4
BS_F9Y4Z92G	E2
BS_FCDAH728	E3
BS_FEV5A0HN	E2
BS_FGJH1X0S	E4
BS_FKASA3MN	E2
BS_FN07P04C	E2
BS_FX2P2WEG	E1
BS_FXJY0MNH	E1
BS_FYP2B298	E2
BS_G19QZG4S	E3
BS_G1E5DATJ	E3
BS_G257VSS9	E2
BS_G3NN392N	E3
BS_G3RJTBZD	E2
BS_G5NHSFD4	E2
BS_G8TXTX0H	E3
BS_GG9W3J9Y	E2
BS_GW0GKWMS	E3
BS_GWHYM3R4	E4
BS_GWSJ4Z9H	E1
BS_H5VQJR7X	E4
BS_H97S5SQN	E3
BS_H9JYKFTV	E4
BS_HDHXX8Q7	E4
BS_HDPCQETG	E1
BS_HJRTC9JQ	E1
BS_HJV0J603	E1
BS_HRJ9145M	E1
BS_HWGWYCY7	E1
BS_HZ9AYDCQ	E3
BS_J4JY2F3H	E1
BS_J6212Y48	E3
BS_J6W1RB7A	E4
BS_J9CBGP57	E3
BS_JB43XBCQ	E1
BS_JDSNFYQ0	E1
BS_JJVH7WR0	E2
BS_JMD386Z2	E3
BS_JP95KMRD	E1
BS_JQGJQ2QZ	E4
BS_JQVAWTTM	E3
BS_JQXHHK0K	E2
BS_JRYJGYC4	E4
BS_JS95PE0J	E3
BS_JTWNJ8T7	E2
BS_JVW2JJ39	E2
BS_K0X3PZGN	E1
BS_K17VQECG	E1
BS_K2PCC777	E1
BS_K74N1BXQ	E3
BS_K81PZXP2	E1
BS_K88T8SW7	E1
BS_KABQQA0T	E2
BS_KBEX4RT2	E4
BS_KFD5128N	E4
BS_KKDTW11T	E4
BS_KP735TJ6	E2
BS_KQ6ZW085	E3
BS_KRS4EV4X	E4
BS_KS8HMGA6	E1
BS_KVPWHDR4	E3
BS_M0FA190Y	E3
BS_M0XGZ53Z	E2
BS_M1PVEHCM	E2
BS_M54TWTH4	E3
BS_M7XB258E	E1
BS_M85CXHDV	E1
BS_MB7WN0ZB	E3
BS_MD0937XT	E2
BS_MDBT7S5Z	E2
BS_ME6VQGG4	E3
BS_MFGZH8FK	E4
BS_MG78HQDM	E2
BS_MWWZBQ60	E3
BS_N6TQBQ8M	E4
BS_N7SW36FD	E1
BS_N7VQ1GQB	E1
BS_NB9XXBW6	E3
BS_NEFAASTR	E1
BS_NEVYM2FP	E3
BS_NFKKDYSV	E1
BS_NGSG2KB6	E1
BS_NNYXMSTX	E1
BS_NPA6CZQF	E2
BS_NQ54ST98	E1
BS_NR3P3GN2	E4
BS_NX1R0BC3	E1
BS_P0QF87WC	E4
BS_P4PMWFMV	E3
BS_P7W3AYKV	E4
BS_PENM28KT	E3
BS_PJC6FH4Y	E1
BS_PS0P3QJ3	E4
BS_PXCPK5XS	E4
BS_PZVHMSYN	E4
BS_Q06J3RYW	E1
BS_Q35GFYDR	E4
BS_Q9N5PRD5	E4
BS_QB84TBA3	E2
BS_QGKEP3KB	E1
BS_QH0VYVJK	E4
BS_QHY302E8	E1
BS_QMBS32Y2	E4
BS_QNNX91SM	E3
BS_QY2G1JZJ	E3
BS_QYA4TQXX	E4
BS_R5JQE0VJ	E4
BS_R5SNFB5B	E2
BS_R9B92M75	E3
BS_RHAWQJ48	E1
BS_RHM60031	E4
BS_RJC3WDD6	E2
BS_RN0VAY51	E3
BS_RX1YTZ7F	E3
BS_RZBFH1QF	E2
BS_S2TA8R29	E3
BS_S3C2PZAH	E4
BS_S3MET0JZ	E4
BS_S4V9E1XJ	E1
BS_S5P8VTN5	E3
BS_S6B9DVNS	E2
BS_S6S7SK3P	E2
BS_S8K878T3	E1
BS_SBMAM00V	E3
BS_SBMCD7XZ	E3
BS_SD0EMK7Y	E3
BS_SD8YBRBR	E2
BS_SERDGASJ	E1
BS_SJVTZ5TH	E4
BS_SMWQR2F1	E4
BS_SNVM7CZT	E1
BS_SR2RGDXJ	E3
BS_SW9Z10F9	E1
BS_SY3J3XR9	E2
BS_T1YHK6B7	E4
BS_T2F48Z4E	E1
BS_T9A8JJW5	E3
BS_TASG32Z2	E4
BS_TGS109T3	E2
BS_TM9MH0RP	E3
BS_TR2P8KRF	E3
BS_TRKH2SPE	E3
BS_TRPXB3AV	E4
BS_TTDNZTZ0	E1
BS_TTE04ZP8	E1
BS_TV5B86ZD	E2
BS_TVH33J9Q	E4
BS_TXZ7KHTQ	E4
BS_V0DQFC75	E4
BS_V3Z3DB4N	E2
BS_V558NW3Q	E1
BS_V6RSB5HQ	E4
BS_V8QWBVS3	E1
BS_VBMRQK4F	E3
BS_VDFXXMEX	E2
BS_VF3NVT4G	E1
BS_VKH87DD2	E1
BS_VKHJG2B8	E4
BS_VKYEM67A	E1
BS_VMQMGSJY	E1
BS_VVTHDRBD	E3
BS_W1385R8Y	E4
BS_W4DB5RP1	E2
BS_W7MFJZ5A	E1
BS_WBVSK3MP	E2
BS_WEKK6SHP	E4
BS_WHBEXD5H	E1
BS_WQ1YRTAT	E2
BS_WTJEDTZC	E4
BS_WVRX4C9Z	E1
BS_X0XXN9BK	E1
BS_X1G0TKP4	E3
BS_X20JCR4H	E1
BS_X23724NJ	E4
BS_X3HR4Z21	E3
BS_X4DD4KSZ	E1
BS_X4X1SFSE	E2
BS_XG0DBWVT	E2
BS_XGDPK33A	E3
BS_XM1AHBDJ	E2
BS_XQ5SFW35	E3
BS_XQXXBWPD	E1
BS_XYVCMF4A	E4
BS_XZM79E42	E1
BS_YA0KMBRT	E4
BS_YDEVMD24	E3
BS_YMKQT5V0	E1
BS_YR12D1ZY	E1
BS_YSZRQ95C	E4
BS_YTWEM5SG	E1
BS_YZ2QFDAN	E4
BS_Z0ZPD9S9	E1
BS_Z3RCA1T9	E3
BS_Z8F3GM85	E1
BS_ZD5HN296	E1
BS_ZF6BSFNF	E3
BS_ZM97KKXE	E1
BS_ZV1P6W9C	E2
BS_ZVM8CAB0	E1
BS_ZZWMD6FA	E1
