Kids_First_Biospecimen_ID,cluster_k
BS_00FD2KMP,E1
BS_028YFYJ6,E1
BS_052PZFMK,E1
BS_056Q8577,E2
BS_08ST21QE,E2
BS_0C7VZC0A,E1
BS_0S8E7590,E2
BS_0VXZCRJS,E1
BS_0XEBS3PG,E1
BS_0ZA67BBC,E1
BS_12G04QJM,E1
BS_17ZSMXFH,E1
BS_1A6MQ9ZA,E1
BS_1D93Z575,E1
BS_1EN5V3XW,E1
BS_223BM91B,E2
BS_25HNKZ79,E2
BS_2853394H,E1
BS_297H8BT4,E2
BS_29X4ZX6Q,E1
BS_2A5R9MEJ,E1
BS_2ARXK0TD,E2
BS_2AV1H5TV,E1
BS_2DMBCHNF,E2
BS_2EN3X6HB,E2
BS_2FEZWH1F,E2
BS_2HNXVFAS,E1
BS_2JH1QMT1,E1
BS_2JP7RBMB,E1
BS_2K01T8K6,E2
BS_2PDS3MSS,E2
BS_2T5PJAW8,E2
BS_2WANPFBJ,E2
BS_30F3Z9FS,E2
BS_30VC3R2Q,E1
BS_30YWQ3FY,E2
BS_31MBRWC4,E2
BS_333KCNDP,E2
BS_399RPKC9,E1
BS_3AC3SRWH,E1
BS_3MS8WVNR,E1
BS_3ZPJAK9A,E1
BS_45J79YTF,E1
BS_49BQS7Z6,E1
BS_49CJNZ06,E1
BS_4B0BAVTX,E2
BS_4BM3F6XJ,E1
BS_4C6B11E4,E2
BS_4GNN7J8E,E2
BS_4KNBXM3C,E2
BS_4Q3KRCZT,E2
BS_4QW2S1Q8,E2
BS_4T0HQ9QF,E1
BS_4V42BXBT,E1
BS_51RA1PGE,E1
BS_52C576HH,E1
BS_5965SFPZ,E1
BS_5EFYPZT0,E1
BS_5G5BD2MD,E2
BS_5K95FX4C,E2
BS_5KBXD2GQ,E1
BS_5PXZ8F7W,E1
BS_5VPM0F36,E2
BS_62SW4CC5,E2
BS_65WPD3DA,E1
BS_68KX6A42,E2
BS_6DCSD5Y6,E1
BS_6H4Q24WA,E2
BS_6M2053M0,E2
BS_6SY64H5J,E2
BS_6VRG1XFB,E1
BS_6WP1FHTE,E2
BS_7327SDAQ,E1
BS_75YRDXET,E2
BS_77SBTNPN,E1
BS_7AEF4D4G,E2
BS_7APCGCVF,E2
BS_7GJT4A6A,E1
BS_7GKWKGPH,E2
BS_7PVJ6Q3D,E1
BS_7WKNNRHK,E1
BS_84VZX732,E2
BS_84XCR9GG,E1
BS_8E8JKP01,E1
BS_8ERBDF7D,E1
BS_8JK9TXH2,E2
BS_8VD670NP,E1
BS_8YWYN7VH,E2
BS_8ZE4Z9G5,E2
BS_8ZY4GST0,E1
BS_91VYM11A,E1
BS_956G6QPJ,E1
BS_97M1E2DW,E1
BS_9A1YTHFF,E2
BS_9B0A62MT,E2
BS_9CA93S6D,E1
BS_9FHEFJNP,E1
BS_9FX3YREK,E1
BS_9GJ3DB1H,E2
BS_9JPQZQNG,E1
BS_9TXEDSWB,E2
BS_9XVACXP0,E1
BS_9Y1K14Q5,E1
BS_9ZJT0CP0,E1
BS_A4PF49V0,E1
BS_A6NXR7RC,E1
BS_A7Q8G0Y1,E1
BS_A8XW5S0W,E2
BS_AWH9757B,E1
BS_AYSXRQWY,E2
BS_AZQM1JJH,E2
BS_B1C6GZ84,E1
BS_B3MQFFYP,E2
BS_B4R7X1KE,E1
BS_B57327NA,E2
BS_BBAEMXRD,E1
BS_BBQ6BHGN,E1
BS_BK0HGRXM,E2
BS_BMMY0H73,E1
BS_C6ZZ3FY5,E1
BS_C83TK159,E1
BS_CBDQZ8PP,E1
BS_CF63VG3S,E2
BS_CFD3WHAY,E1
BS_CG1RG607,E2
BS_CVEDJGHZ,E2
BS_CXAQDK7S,E2
BS_CZPQ493E,E2
BS_D29RPBSZ,E1
BS_D4VNDNQA,E1
BS_D6J2BGDJ,E1
BS_DFGS950G,E1
